_date,total_views,unique_views
2022-03-16,5,1
2022-03-27,1,1
2022-03-30,11,1
2023-01-29,1,1
2023-04-17,2,1
2024-01-09,1,1
2025-07-16,50,6
2025-07-19,1,1
2025-07-20,1,1
2025-07-27,16,6
2025-09-17,1,1
2025-10-07,11,11
2025-10-10,1,1
2025-10-18,1,1
2025-11-11,1,1
